stu_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6210422010,ง่วง,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หิว-กลัวอ้วน,เหนื่อย,ง่วง,ความลำคาญ,ความลำคาญ,,ความลำคาญ,,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ความลำคาญ,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,,,,,
6210422031,ความลำคาญ,ความลำคาญ,รถติด-ต้องขับรถ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,รถติด-ต้องขับรถ,งานเพิ่ม-ไม่เสร็จ,รถติด-ต้องขับรถ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ง่วง,,,,,,,,,,,,,,,,,,,,,,
6210422032,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ความลำคาญ,ความลำคาญ,ง่วง,,,,,,,,,,,,,,,,,
6210422033,ความลำคาญ,ง่วง,ความลำคาญ,แพง,,ความลำคาญ,,ง่วง,,,ความลำคาญ,ความลำคาญ,แพง,ความลำคาญ,,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,,,,,,,,,
6210422034,ง่วง,ง่วง,หนาว,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ง่วง,ความลำคาญ,,,,,,,,,,,,,,,,,,,,,
6210422035,ง่วง,หนาว,ความลำคาญ,ความลำคาญ,ความลำคาญ,หิว-กลัวอ้วน,ง่วง,แพง,หิว-กลัวอ้วน,ความลำคาญ,ความลำคาญ,ความลำคาญ,หิว-กลัวอ้วน,ความลำคาญ,แพง,หนาว,ง่วง,ความลำคาญ,,,,,,,,,,,,,,,,,,,,
6210422036,ความลำคาญ,,ความลำคาญ,ความลำคาญ,ความลำคาญ,,,ความลำคาญ,ความลำคาญ,ความลำคาญ,เหนื่อย,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,,,,,,,,,,,,,
6210422037,เหนื่อย,หนาว,เหนื่อย,หนาว,ความลำคาญ,ความลำคาญ,,,เหนื่อย,ความลำคาญ,,ความลำคาญ,,,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,,,,,,,,,,
6210422038,ความลำคาญ,หนาว,ความลำคาญ,หิว-กลัวอ้วน,ความลำคาญ,ความลำคาญ,เหนื่อย,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ง่วง,ความลำคาญ,,,,,,,,,,,,,,,,,,,,
6210422040,ง่วง,,,,ความลำคาญ,,,ง่วง,ความลำคาญ,ง่วง,,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,,,,,,,,,,,,,
6210422043,ง่วง,หนาว,หนาว,ความลำคาญ,,,ความลำคาญ,ความลำคาญ,,ความลำคาญ,เหนื่อย,เหนื่อย,เหนื่อย,หนาว,ความลำคาญ,,หนาว,ความลำคาญ,ง่วง,,,,,,,,,,,,,,,,,,,
6210422044,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,ความลำคาญ,ง่วง,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,งานเพิ่ม-ไม่เสร็จ,ความลำคาญ,แพง,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ความลำคาญ,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,
6210422047,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ง่วง,,,,,,,,,,,,,,,,,,,,
6210422048,ง่วง,ความลำคาญ,หิว-กลัวอ้วน,ง่วง,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,แพง,แพง,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,ความลำคาญ,หนาว,ความลำคาญ,ความลำคาญ,,,,,,,,,,,,,,,,,,,,
